date,TSLA
2011-03-03,0.0141548765823245
2011-03-04,0.02422003820538521
2011-03-07,-0.0004008107644040138
2011-03-08,-0.01122697163373232
2011-03-09,0.002433068351820111
2011-03-10,-0.02872164733707905
2011-03-11,0.002498936606571078
2011-03-14,-0.03406729176640511
2011-03-15,-0.01290319301187992
2011-03-16,-0.005664534401148558
2011-03-17,-0.0004382221377454698
2011-03-18,0.006576046347618103
2011-03-21,-0.01001740247011185
2011-03-22,-0.02375710569322109
2011-03-23,0.0009012415539473295
2011-03-24,0.005403009708970785
2011-03-25,0.01880878023803234
2011-03-28,0.02197802253067493
2011-03-29,0.02881720848381519
2011-03-30,-0.008779305964708328
2011-03-31,0.1703922897577286
2011-04-01,-0.03927928581833839
2011-04-04,-0.0311327800154686
2011-04-05,0.03368179872632027
